公交,写字楼,医院,商场,地铁,学校,小区名字,建造时间,房型,楼层,每平米价格,面积
18,18,10,0,2,49,远洋山水,2006,2室1厅,26,60937,96
17,42,10,0,4,37,椿树园,1998,3室1厅,14,88686,130
18,36,9,0,1,24,永乐小区,1989,3室1厅,18,46621,74
15,49,13,0,2,45,主语家园,2007,4室3厅,2,86147,462
6,0,0,0,0,0,天伦锦城,2007,1室1厅,13,42500,64
2,0,0,0,0,0,温哥华森林,2007,5室3厅,3,28368,423
0,0,0,0,0,0,晴翠园,2006,5室3厅,3,97646,399
4,0,0,0,0,0,启迪香山,2016,2室2厅,9,57083,48
18,0,0,0,0,39,亚奥·观典国际公寓,2008,3室2厅,25,61111,180
0,0,0,0,0,0,上上城四期,2010,2室1厅,28,26627,86
11,0,0,0,0,0,石油大院,1990,2室1厅,16,82960,60
8,0,0,0,0,0,铁顺鑫汇,2015,4室2厅,9,25916,96
13,50,11,0,4,25,富力城D区,2008,4室2厅,20,87051,276
16,50,16,0,1,35,新明胡同,2000,2室1厅,6,106349,63
19,50,17,0,1,49,官苑8号,2008,1室1厅,16,141414,40
11,0,0,0,0,12,倚林佳园,2000,4室2厅,5,89215,177
21,0,0,0,0,19,金隅万科城,2010,2室1厅,22,39608,91
4,0,0,0,0,0,望都新地,2007,2室1厅,6,41011,89
26,13,7,0,1,21,龙腾苑五区,2003,3室1厅,6,38264,127
4,0,0,0,0,0,保利西山林语,2009,2室1厅,8,59090,88
4,0,0,0,0,0,京泰自主城,2012,3室2厅,11,23076,130
19,0,0,0,0,0,君安国际,2012,2室2厅,28,39583,96
20,0,0,0,0,19,世嘉博客,2009,1室1厅,15,52830,53
17,0,0,0,0,8,东方太阳城,2006,3室2厅,4,30156,128
14,0,0,0,0,0,K2清水湾,2011,2室1厅,27,60975,82
4,0,0,0,0,0,美树假日嘉园,2004,4室2厅,4,40838,186
18,46,9,0,1,26,朝阳无限,2003,1室1厅,14,48968,67
